Consulta;R_stemmer - R_nostemmer
1;-8
2;-2
3;-5
4;-1
5;-8
6;-6
7;-4
8;-1
9;-2
10;-8
11;-12
12;0
13;-3
14;-12
15;-13
16;-12
17;-10
18;-9
19;0
20;-25
21;-5
22;-3
23;-4
24;0
25;-12
26;-3
27;-2
28;-6
29;-1
30;-4
31;-5
32;-2
33;-27
34;-12
35;-4
36;-1
37;-36
38;-2
39;-24
40;-17
41;-4
42;-8
43;-23
44;-42
45;-5
46;-5
47;-2
48;-8
49;-9
50;-4
51;-16
52;-1
53;-6
54;-16
55;-1
56;-2
57;-22
58;-14
59;-6
60;-1
61;-11
62;-10
63;-2
64;-5
65;-9
66;-5
67;-4
68;0
69;-2
70;-3
71;-2
72;-5
73;-3
74;-2
75;-7
76;-3
77;-2
78;-3
79;-5
80;-9
81;-4
82;-4
83;-5
84;-5
85;-1
86;-14
87;-5
88;-2
89;-4
90;-13
91;-20
92;-7
94;-4
95;-2
96;-1
97;-3
98;-2
99;-3
100;0
