Consultas;R-precision
1;1
2;0
3;0
4;0
5;17
6;0
7;0
8;1
9;0
10;1
11;0
12;0
13;2
14;2
15;8
16;34
17;3
18;0
19;1
20;0
21;0
22;10
23;1
24;1
25;3
26;2
27;0
28;5
29;3
30;0
31;3
32;1
33;1
34;1
35;0
36;0
37;9
38;1
39;28
40;18
41;1
42;2
43;9
44;16
45;0
46;0
47;5
48;0
49;1
50;0
51;57
52;0
53;1
54;8
55;0
56;2
57;4
58;23
59;30
60;1
61;7
62;22
63;2
64;2
65;9
66;7
67;0
68;4
69;0
70;0
71;0
72;1
73;1
74;0
75;1
76;1
77;4
78;10
79;2
80;1
81;1
82;4
83;3
84;0
85;2
86;1
87;2
88;0
89;0
90;1
91;65
92;16
94;2
95;1
96;0
97;0
98;1
99;0
100;3
